Name,Turn,Political Stance,Session,Question Order,World,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A1DNJ17PE2RYJZ,1,strong Democrats,5b9e8ead86765,"23,24,18,15,9,19,21,11,10,14,8,13,17,2,5,16,22,20,1,4,3,12,7,25,6",2,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A32E28U1ZP67NE,2,Republicans,5b9e9244aa06c,"23,24,18,4,20,7,21,19,14,11,13,5,16,15,1,9,22,6,12,3,8,2,10,25,17",2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0
A2R8IV2PWFTY00,3,strong Republicans,5b9e97d2eaef8,"23,24,10,11,4,6,21,15,12,2,20,1,16,9,19,7,22,18,5,8,3,13,14,25,17",2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0
A55CXM7QR7R0N,4,Republicans,5b9e9d7db7b35,"23,24,9,10,8,5,21,4,15,7,20,6,1,2,12,14,22,17,11,19,13,16,18,25,3",2,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
A28X02I7Q5J48B,5,Republicans,5b9ea66645e3c,"23,24,19,13,7,10,21,15,9,17,20,4,6,16,12,11,22,18,8,3,14,1,5,25,2",2,,,,1.0,,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
A1PUHCEBSOWETV,6,strong Democrats,5b9eabfd82de5,"23,24,6,1,16,12,21,18,10,3,14,8,4,2,7,9,22,13,17,15,20,19,5,25,11",2,0.0,1.0,1.0,,0.0,0.0,,,1.0,1.0,,1.0,1.0,,,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A248LF7KKHXZ14,7,strong Democrats,5b9eb3a5cf9b7,"23,24,12,4,9,14,21,13,5,10,17,16,19,20,11,1,22,2,7,3,18,6,8,25,15",2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
A2XHD64QUKA5Z6,8,strong Democrats,5b9ec5b7d2c5e,"23,24,19,6,4,16,21,8,1,20,18,10,17,7,12,11,22,15,14,5,13,3,2,25,9",2,1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,0.0,1.0,0.0,,1.0,1.0
A98E8M4QLI9RS,9,strong Democrats,5b9ec94c1fac2,"23,24,4,9,15,6,21,5,13,14,3,18,7,20,16,19,22,10,1,12,11,8,17,25,2",2,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A2LHA9ZHYTGWAE,10,strong Democrats,5b9ecd2791de6,"23,24,9,2,1,14,21,13,3,18,16,8,4,15,19,12,22,5,7,17,10,11,20,25,6",2,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A196XR61DIW5GU,11,strong Republicans,5b9ecf167a925,"23,24,7,5,9,20,21,3,4,16,15,19,12,14,6,1,22,18,13,11,2,10,17,25,8",2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1LQKMSG4GT8N,12,Republicans,5b9ed2bf3c395,"23,24,18,7,6,10,21,16,13,1,11,3,17,5,4,14,22,15,9,20,12,2,8,25,19",2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
AEQ95NMC3VXQ5,13,strong Democrats,5b9ed349e3ab1,"23,24,2,14,4,18,21,5,6,20,19,10,7,9,11,8,22,13,15,3,1,12,16,25,17",2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A353STSNL3BYS6,14,strong Democrats,5b9ed7c06f76c,"23,24,13,11,14,20,21,6,1,17,8,10,19,12,16,2,22,4,9,7,5,18,15,25,3",2,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A2A07LB5EG953J,15,strong Democrats,5b9edd0040886,"23,24,14,10,4,18,21,2,6,20,15,1,12,17,19,5,22,9,11,7,8,3,16,25,13",2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
A183M0WWXDR92U,16,Republicans,5b9eddf5118e0,"23,24,20,13,17,9,21,1,4,14,2,3,15,6,12,19,22,18,7,11,10,8,5,25,16",2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
ACM87U430O96Z,17,Republicans,5b9edf02e5a69,"23,24,11,17,15,12,21,5,9,2,4,18,3,14,8,13,22,16,20,7,19,10,1,25,6",2,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2TLN8489YGY81,18,strong Democrats,5b9ee33895dd6,"23,24,9,2,10,20,21,1,4,5,14,11,16,3,8,15,22,12,13,17,7,18,19,25,6",2,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
ADKYBMRKXK815,19,strong Republicans,5b9ee817a3883,"23,24,19,8,18,3,21,7,4,1,2,16,6,15,10,12,22,5,11,14,9,20,17,25,13",2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
AEO8NL8D28NQG,20,strong Democrats,5b9ee906d9cb9,"23,24,6,10,7,11,21,9,4,5,3,12,19,2,17,13,22,1,18,15,14,8,20,25,16",2,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
A1E64VF4LFO4GL,21,neither,5b9eec827f90c,"23,24,10,20,12,5,21,1,2,16,18,4,7,19,15,13,22,8,6,3,11,9,17,25,14",2,,,,,,,,,,,,,,,,,,,,,,,,
A3AJWZZYNIZQXY,22,Republicans,5b9ef25cef64f,"23,24,18,14,10,11,21,19,3,20,2,15,13,5,16,1,22,8,6,7,9,12,17,25,4",2,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
A2YQAE441JMA7V,23,Republicans,5b9ef76f06525,"23,24,3,12,17,4,21,16,11,2,13,14,6,5,15,9,22,10,20,1,18,19,7,25,8",2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
A1DNJ3C38BJ0MJ,24,Republicans,5b9efc52dc673,"23,24,7,16,13,2,21,12,4,1,15,5,17,9,3,14,22,18,10,19,20,11,6,25,8",2,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
